;GO:0060760;GO:0016525;GO:0043507;GO:0007253;GO:0016925;GO:1901222;GO:1901224;GO:1901740;GO:0007254;GO:0051091;GO:0008625;GO:0051092;GO:0045648;GO:0032727;GO:0000187;GO:0050796;GO:0010819;GO:0010818;GO:0032725;GO:0000185;GO:0002876;GO:0032728;GO:0000060;GO:0032729;GO:0050715;GO:2000110;GO:0097527;GO:0050830;GO:0033138;GO:0061048;GO:2000010;GO:0050729;GO:0045655;GO:0045930;GO:1904469;GO:0008630;GO:0006974;GO:0045416;GO:0061844;GO:0032715;GO:2000406;GO:1901509;GO:0071360;GO:0070431;GO:0045662;GO:0046597;GO:0043242;GO:0030816;GO:0002925;GO:0035549;GO:0031622;GO:0071407;GO:0071803;GO:0035666;GO:0051897;GO:0032270;GO:0045429;GO:1903140;GO:0008284;GO:0043123;GO:1904999;GO:0043243;GO:0045944;GO:0045824;GO:0002740;GO:0045668;GO:0043491;GO:0034605;GO:2000778;GO:0045672;GO:0051023;GO:0071550;GO:0051384;GO:0010875;GO:0071677;GO:0019985;GO:0071316;GO:0016579;GO:2001240;GO:1902187;GO:0032020;GO:1902741;GO:0051281;GO:0002230;GO:0007249;GO:0007517;GO:1990830;GO:0016064;GO:0010803;GO:0030593;GO:0010888;GO:0001937;GO:2000304;GO:0051798;GO:0032495;GO:0006366;GO:0009597;GO:0006006;GO:0030866;GO:0043392;GO:0048566;GO:0051044;GO:0002439;GO:0051607;GO:0070886;GO:0031397;GO:0006919;GO:0032800;GO:0030501;GO:0050995;GO:0032480;GO:0045859;GO:0007186;GO:1901671;GO:0090026;GO:0032481;GO:0034142;GO:0060559;GO:0043950;GO:0042742;GO:0033209;GO:0032757;GO:0044130;GO:0035509;GO:0031663;GO:0010745;GO:0010469;GO:0030334;GO:0032755;GO:0050766;GO:0072659;GO:0033280;GO:0060340;GO:1903347;GO:0045746;GO:0009615;GO:0000122;GO:0071230;GO:0097421;GO:1904707;GO:0043330;GO:0045351;GO:0034127;GO:0034124;GO:0070427;GO:0002819;GO:0039536;GO:0019941;GO:0045071;GO:2000334;GO:0060693;GO:0045638;GO:0010693;GO:0039534;GO:0060333;GO:0039530;GO:1900245;GO:0045599;GO:0046325;GO:1900246;GO:0045994;GO:0006513;GO:0060337;GO:0030316;GO:0071222;GO:0043066;GO:0045087;GO:0070098;GO:0070374;GO:0034116;GO:0039529;GO:2000343;GO:0070498;GO:0030433;GO:0070417;GO:0045080
GO:0006366;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.375;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0
GO:0009597;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
GO:0006006;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0030866;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.14285714285714285;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.125;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.2;0.0;0.1111111111111111;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.2;0.2;0.14285714285714285;0.0
GO:0043392;0.1111111111111111;0.1;0.15384615384615385;0.375;0.0;0.1;0.09090909090909091;0.1;0.0;0.2857142857142857;0.0;0.25;0.125;0.09090909090909091;0.16666666666666666;0.1;0.09090909090909091;0.0;0.1;0.16666666666666666;0.09090909090909091;0.09090909090909091;0.0;0.1;0.1;0.07692307692307693;0.0;0.0;0.07692307692307693;0.1111111111111111;0.1111111111111111;0.1;0.09090909090909091;0.1;0.08333333333333333;0.0;0.0;0.09090909090909091;0.0;0.1;0.09090909090909091;0.1111111111111111;0.0;0.0;0.1;0.09090909090909091;0.1;0.08333333333333333;0.09090909090909091;0.08333333333333333;0.1111111111111111;0.0;0.1;0.0;0.09090909090909091;0.1;0.09090909090909091;0.09090909090909091;0.1111111111111111;0.09090909090909091;0.08333333333333333;0.1;0.08333333333333333;0.1;0.09090909090909091;0.1;0.0;0.0;0.09090909090909091;0.08333333333333333;0.09090909090909091;0.0;0.0;0.08333333333333333;0.1;0.0;0.0;0.0;0.09090909090909091;0.1111111111111111;0.0;0.08333333333333333;0.1111111111111111;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.125;0.09090909090909091;0.09090909090909091;0.1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.09090909090909091;0.0;0.0;0.07692307692307693;0.07692307692307693;0.15384615384615385;0.0;0.1;0.1;0.1;0.2222222222222222;0.0;0.2222222222222222;0.09090909090909091;0.1;0.0;0.2;0.09090909090909091;0.0;0.0;0.1;0.1111111111111111;0.3;0.0;0.1;0.3333333333333333;0.1111111111111111;0.1;0.1;0.0;0.0;0.09090909090909091;0.1;0.1;0.0;0.08333333333333333;0.0;0.0;0.09090909090909091;0.0;0.0;0.1;0.1;0.0;0.1111111111111111;0.09090909090909091;0.0;0.09090909090909091;0.1111111111111111;0.1111111111111111;0.1;0.3333333333333333;0.09090909090909091;0.0;0.0;0.1111111111111111;0.1;0.09090909090909091;0.1111111111111111;0.07692307692307693;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.08333333333333333;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.09090909090909091
GO:0048566;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051044;0.3333333333333333;0.18181818181818182;0.46153846153846156;0.0;0.0;0.2727272727272727;0.36363636363636365;0.2727272727272727;0.0;0.375;0.0;0.3333333333333333;0.4;0.2727272727272727;0.46153846153846156;0.3;0.16666666666666666;0.0;0.3;0.46153846153846156;0.2727272727272727;0.2727272727272727;0.0;0.3;0.4;0.23076923076923078;0.3333333333333333;0.0;0.5454545454545454;0.2;0.3333333333333333;0.3;0.2727272727272727;0.3;0.36363636363636365;0.0;0.0;0.6;0.0;0.18181818181818182;0.2727272727272727;0.2;0.0;0.0;0.3;0.16666666666666666;0.3;0.45454545454545453;0.2727272727272727;0.36363636363636365;0.3;0.0;0.4;0.0;0.36363636363636365;0.75;0.5555555555555556;0.2727272727272727;0.5;0.36363636363636365;0.25;0.4444444444444444;0.45454545454545453;0.18181818181818182;0.25;0.3;0.3;0.0;0.36363636363636365;0.36363636363636365;0.3;0.0;0.0;0.25;0.3;0.0;0.0;0.0;0.25;0.2;0.0;0.36363636363636365;0.4444444444444444;0.18181818181818182;0.3;0.0;0.0;0.0;0.2727272727272727;0.0;0.2;0.2727272727272727;0.5555555555555556;0.3;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;1.0;0.0;0.0;0.3076923076923077;0.45454545454545453;0.5384615384615384;0.0;0.3;0.4444444444444444;0.18181818181818182;0.5;0.3333333333333333;0.4444444444444444;0.2727272727272727;0.3;0.0;0.5;0.36363636363636365;0.0;0.2727272727272727;0.3;0.2;0.4166666666666667;0.3;0.3;0.3;0.3;0.3;0.4;0.0;0.0;0.36363636363636365;0.2727272727272727;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.4;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.2;0.23076923076923078;0.0;0.16666666666666666;0.4444444444444444;0.18181818181818182;0.3;0.3076923076923077;0.23076923076923078;0.2727272727272727;0.2727272727272727;0.3333333333333333;0.3;0.16666666666666666;0.3333333333333333;0.5454545454545454;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.2727272727272727;0.5;0.3;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.0;0.0;0.6
GO:0002439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.25;0.0;0.2857142857142857;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.2;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.25;0.0
GO:0051607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.375;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.5;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.2857142857142857;0.0
GO:0070886;0.4;0.15384615384615385;0.5;0.0;0.0;0.5;0.6;0.21428571428571427;0.0;0.3;0.0;0.2727272727272727;0.3076923076923077;0.23076923076923078;0.5;0.25;0.21428571428571427;0.0;0.25;0.5;0.3333333333333333;0.23076923076923078;0.0;0.25;0.25;0.1875;0.25;0.0;0.26666666666666666;0.16666666666666666;0.2727272727272727;0.36363636363636365;0.21428571428571427;0.23076923076923078;0.2857142857142857;0.0;0.0;0.23076923076923078;0.0;0.15384615384615385;0.23076923076923078;0.16666666666666666;0.0;0.0;0.23076923076923078;0.14285714285714285;0.23076923076923078;0.21428571428571427;0.3333333333333333;0.2857142857142857;0.25;0.0;0.25;0.0;0.6;0.3333333333333333;0.3076923076923077;0.21428571428571427;0.36363636363636365;0.6;0.21428571428571427;0.3333333333333333;0.21428571428571427;0.25;0.23076923076923078;0.23076923076923078;0.0;0.0;0.23076923076923078;0.2857142857142857;0.23076923076923078;0.0;0.0;0.21428571428571427;0.25;0.0;0.0;0.0;0.3333333333333333;0.16666666666666666;0.0;0.2857142857142857;0.3333333333333333;0.23076923076923078;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.16666666666666666;0.21428571428571427;0.3076923076923077;0.25;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.3076923076923077;0.0;0.0;1.0;0.1875;0.26666666666666666;0.0;0.25;0.15384615384615385;0.15384615384615385;0.2;0.25;0.25;0.3076923076923077;0.25;0.0;0.23076923076923078;0.6;0.0;0.0;0.25;0.16666666666666666;0.17647058823529413;0.0;0.23076923076923078;0.4;0.23076923076923078;0.25;0.25;0.0;0.0;0.45454545454545453;0.21428571428571427;0.36363636363636365;0.0;0.1875;0.0;0.0;0.3076923076923077;0.0;0.0;0.36363636363636365;0.36363636363636365;0.0;0.2727272727272727;0.4166666666666667;0.0;0.14285714285714285;0.2727272727272727;0.15384615384615385;0.23076923076923078;0.06666666666666667;0.4166666666666667;0.0;0.0;0.6;0.23076923076923078;0.14285714285714285;0.6;0.26666666666666666;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.5454545454545454;0.25;0.0;0.23076923076923078;0.0;0.0;0.0;0.23076923076923078
GO:0031397;0.16666666666666666;0.23076923076923078;0.42857142857142855;0.25;0.0;0.23076923076923078;0.21428571428571427;0.3333333333333333;0.0;0.18181818181818182;0.0;0.16666666666666666;0.23076923076923078;0.14285714285714285;0.42857142857142855;0.25;0.14285714285714285;0.0;0.15384615384615385;0.42857142857142855;0.14285714285714285;0.14285714285714285;0.0;0.15384615384615385;0.23076923076923078;0.2857142857142857;0.2727272727272727;0.0;0.5;0.2727272727272727;0.16666666666666666;0.15384615384615385;0.23076923076923078;0.36363636363636365;0.21428571428571427;0.0;0.0;0.38461538461538464;0.0;0.25;0.14285714285714285;0.16666666666666666;0.0;0.0;0.36363636363636365;0.23076923076923078;0.36363636363636365;0.2857142857142857;0.14285714285714285;0.21428571428571427;0.15384615384615385;0.0;0.23076923076923078;0.0;0.21428571428571427;0.5;0.3333333333333333;0.23076923076923078;0.2727272727272727;0.21428571428571427;0.13333333333333333;0.25;0.2857142857142857;0.25;0.3076923076923077;0.36363636363636365;0.25;0.0;0.21428571428571427;0.21428571428571427;0.25;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.3076923076923077;0.2727272727272727;0.0;0.21428571428571427;0.25;0.15384615384615385;0.25;0.0;0.0;0.0;0.23076923076923078;0.0;0.2727272727272727;0.3333333333333333;0.3333333333333333;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.45454545454545453;0.0;0.0;0.1875;1.0;0.3125;0.0;0.15384615384615385;0.36363636363636365;0.25;0.5454545454545454;0.2727272727272727;0.25;0.14285714285714285;0.15384615384615385;0.0;0.3076923076923077;0.21428571428571427;0.0;0.23076923076923078;0.15384615384615385;0.25;0.5833333333333334;0.25;0.36363636363636365;0.25;0.25;0.15384615384615385;0.23076923076923078;0.0;0.0;0.21428571428571427;0.3333333333333333;0.3333333333333333;0.0;0.38461538461538464;0.0;0.0;0.23076923076923078;0.0;0.0;0.23076923076923078;0.23076923076923078;0.0;0.16666666666666666;0.23076923076923078;0.0;0.23076923076923078;0.25;0.15384615384615385;0.36363636363636365;0.35714285714285715;0.23076923076923078;0.23076923076923078;0.0;0.16666666666666666;0.36363636363636365;0.23076923076923078;0.16666666666666666;0.38461538461538464;0.0;0.23076923076923078;0.0;0.0;0.3333333333333333;0.0;0.23076923076923078;0.46153846153846156;0.15384615384615385;0.0;0.14285714285714285;0.23076923076923078;0.0;0.0;0.38461538461538464
GO:0006919;0.2727272727272727;0.15384615384615385;0.26666666666666666;0.0;0.0;0.23076923076923078;0.3076923076923077;0.23076923076923078;0.0;0.3;0.0;0.2727272727272727;0.3333333333333333;0.23076923076923078;0.26666666666666666;0.25;0.14285714285714285;0.0;0.25;0.26666666666666666;0.23076923076923078;0.23076923076923078;0.0;0.25;0.3333333333333333;0.5;0.2727272727272727;0.0;0.4;0.16666666666666666;0.2727272727272727;0.25;0.23076923076923078;0.25;0.3076923076923077;0.0;0.0;0.4;0.0;0.15384615384615385;0.23076923076923078;0.16666666666666666;0.0;0.0;0.25;0.14285714285714285;0.25;0.2857142857142857;0.23076923076923078;0.3076923076923077;0.25;0.0;0.3333333333333333;0.0;0.3076923076923077;0.5;0.3333333333333333;0.23076923076923078;0.4;0.3076923076923077;0.21428571428571427;0.36363636363636365;0.21428571428571427;0.15384615384615385;0.21428571428571427;0.25;0.25;0.0;0.3076923076923077;0.3076923076923077;0.25;0.0;0.0;0.21428571428571427;0.25;0.0;0.0;0.0;0.46153846153846156;0.16666666666666666;0.0;0.3076923076923077;0.36363636363636365;0.15384615384615385;0.25;0.0;0.0;0.0;0.23076923076923078;0.0;0.16666666666666666;0.23076923076923078;0.3333333333333333;0.25;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.5384615384615384;0.0;0.0;0.26666666666666666;0.3125;1.0;0.0;0.25;0.15384615384615385;0.15384615384615385;0.23076923076923078;0.2727272727272727;0.3333333333333333;0.23076923076923078;0.25;0.0;0.3076923076923077;0.3076923076923077;0.0;0.23076923076923078;0.25;0.16666666666666666;0.2857142857142857;0.25;0.25;0.25;0.25;0.25;0.3333333333333333;0.0;0.0;0.3076923076923077;0.23076923076923078;0.23076923076923078;0.0;0.2;0.0;0.0;0.3333333333333333;0.0;0.0;0.23076923076923078;0.23076923076923078;0.0;0.16666666666666666;0.2;0.0;0.14285714285714285;0.36363636363636365;0.15384615384615385;0.25;0.3076923076923077;0.2;0.23076923076923078;0.23076923076923078;0.2727272727272727;0.25;0.14285714285714285;0.2727272727272727;0.4;0.0;0.23076923076923078;0.0;0.0;0.6;0.0;0.23076923076923078;0.375;0.25;0.23076923076923078;0.23076923076923078;0.23076923076923078;0.0;0.0;0.4
GO:0032800;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.1;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.5;0.1111111111111111;0.3333333333333333;0.0;0.0;0.375;0.0;0.0;0.0;0.16666666666666666;0.0;0.1;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.2222222222222222;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.16666666666666666;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.5;0.125;0.0
GO:0030501;0.375;0.3333333333333333;0.25;0.0;0.0;0.2;0.3;0.3333333333333333;0.0;0.42857142857142855;0.0;0.375;0.4444444444444444;0.4444444444444444;0.21428571428571427;0.09090909090909091;0.18181818181818182;0.0;0.5;0.21428571428571427;0.3;0.4444444444444444;0.0;0.5;0.5;0.15384615384615385;0.0;0.0;0.25;0.375;0.375;0.3333333333333333;0.3;0.2;0.4;0.0;0.0;0.4444444444444444;0.0;0.3333333333333333;0.3;0.5;0.0;0.0;0.3333333333333333;0.18181818181818182;0.2;0.2727272727272727;0.3;0.4;0.5;0.0;0.3333333333333333;0.0;0.3;0.3333333333333333;0.3;0.3;0.375;0.3;0.2727272727272727;0.3333333333333333;0.2727272727272727;0.2;0.3;0.5;0.0;0.0;0.4444444444444444;0.4;0.18181818181818182;0.0;0.0;0.2727272727272727;0.3333333333333333;0.0;0.0;0.0;0.18181818181818182;0.2222222222222222;0.0;0.4;0.2727272727272727;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.2222222222222222;0.18181818181818182;0.3;0.5;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.3;0.0;0.0;0.25;0.15384615384615385;0.25;0.0;1.0;0.2;0.3333333333333333;0.09090909090909091;0.0;0.3333333333333333;0.3;0.5;0.0;0.3;0.3;0.0;0.0;0.5;0.2222222222222222;0.07692307692307693;0.0;0.3333333333333333;0.125;0.2222222222222222;0.5;0.3333333333333333;0.0;0.0;0.3;0.2;0.2;0.0;0.16666666666666666;0.0;0.0;0.3;0.0;0.0;0.2;0.2;0.0;0.2222222222222222;0.3;0.0;0.18181818181818182;0.5714285714285714;0.4444444444444444;0.3333333333333333;0.08333333333333333;0.3;0.0;0.4444444444444444;0.5;0.3333333333333333;0.18181818181818182;0.5;0.25;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.2727272727272727;0.3333333333333333;0.4444444444444444;0.4444444444444444;0.0;0.0;0.0;0.4444444444444444
